"","datasets","model","variable","value"
"6780","1","coxboost","bs1",207.336678441029
"6781","1","coxboost","bs1",244.834021534818
"6782","1","coxboost","bs1",239.797938459675
"6783","1","coxboost","bs1",307.391771337453
"6784","1","coxboost","bs1",229.004383586577
"6785","1","coxboost","bs1",309.317224142985
"6786","1","coxboost","bs1",257.200877796075
"6787","1","coxboost","bs1",211.555778259511
"6788","1","coxboost","bs1",252.940284435823
"6789","1","coxboost","bs1",279.777208128852
"6790","1","coxboost","bs1",340.120605868493
"6791","1","coxboost","bs1",307.942984004542
"6792","1","coxboost","bs1",240.677238075407
"6793","1","coxboost","bs1",277.747525609033
"6794","1","coxboost","bs1",219.239747903892
"6795","1","coxboost","bs1",246.201522042943
"6796","1","coxboost","bs1",212.720717342894
"6797","1","coxboost","bs1",301.501403904189
"6798","1","coxboost","bs1",382.121139580881
"6799","1","coxboost","bs1",240.525990284722
"6800","1","coxboost","bs1",212.563039587231
"6801","1","coxboost","bs1",187.768357028738
"6802","1","coxboost","bs1",247.840842296341
"6803","1","coxboost","bs1",275.477720106223
"6804","1","coxboost","bs1",371.414780970793
"6805","1","coxboost","bs1",276.544114971858
"6806","1","coxboost","bs1",253.534848839114
"6807","1","coxboost","bs1",328.976026451401
"6808","1","coxboost","bs1",239.769077720523
"6809","1","coxboost","bs1",254.945035455295
"6810","1","coxboost","bs1",232.395524828898
"6811","1","coxboost","bs1",236.10131399529
"6812","1","coxboost","bs1",279.780073562106
"6813","1","coxboost","bs1",272.457875432192
"6814","1","coxboost","bs1",340.541046169114
"6815","1","coxboost","bs1",201.336801603518
"6816","1","coxboost","bs1",208.499269768105
"6817","1","coxboost","bs1",283.937994645642
"6818","1","coxboost","bs1",223.176572423449
"6819","1","coxboost","bs1",329.986467971798
"6820","1","coxboost","bs1",325.657476126578
"6821","1","coxboost","bs1",273.757199225299
"6822","1","coxboost","bs1",254.026352466799
"6823","1","coxboost","bs1",284.351268392835
"6824","1","coxboost","bs1",276.913491151389
"6825","1","coxboost","bs1",214.295700181362
"6826","1","coxboost","bs1",321.813451959597
"6827","1","coxboost","bs1",239.081921076336
"6828","1","coxboost","bs1",237.344327011432
"6829","1","coxboost","bs1",333.919836320198
"6830","1","coxboost","bs1",222.835905038767
"6831","1","coxboost","bs1",249.124509013407
"6832","1","coxboost","bs1",365.565195214062
"6833","1","coxboost","bs1",214.94771980342
"6834","1","coxboost","bs1",210.806949794112
"6835","1","coxboost","bs1",304.227258090804
"6836","1","coxboost","bs1",252.514810505449
"6837","1","coxboost","bs1",253.815884023419
"6838","1","coxboost","bs1",212.615944931992
"6839","1","coxboost","bs1",248.56114221299
"6840","1","coxboost","bs1",356.051544756197
"6841","1","coxboost","bs1",201.758215553726
"6842","1","coxboost","bs1",216.748408773386
"6843","1","coxboost","bs1",242.384471141677
"6844","1","coxboost","bs1",315.985468696407
"6845","1","coxboost","bs1",410.033511574091
"6846","1","coxboost","bs1",233.895776317948
"6847","1","coxboost","bs1",300.180216617296
"6848","1","coxboost","bs1",292.844196434118
"6849","1","coxboost","bs1",248.43850459921
"6850","1","coxboost","bs1",240.786359883284
"6851","1","coxboost","bs1",205.199813723093
"6852","1","coxboost","bs1",393.475638444051
"6853","1","coxboost","bs1",213.917800615345
"6854","1","coxboost","bs1",274.642106718844
"6855","1","coxboost","bs1",277.943111079106
"6856","1","coxboost","bs1",285.499444703812
"6857","1","coxboost","bs1",268.22078846048
"6858","1","coxboost","bs1",281.282380292731
"6859","1","coxboost","bs1",213.487002940531
"6860","1","coxboost","bs1",263.464248201611
"6861","1","coxboost","bs1",238.446095079018
"6862","1","coxboost","bs1",314.233700615402
"6863","1","coxboost","bs1",240.946228482103
"6864","1","coxboost","bs1",340.487885228697
"6865","1","coxboost","bs1",204.33435193518
"6866","1","coxboost","bs1",248.347322885093
"6867","1","coxboost","bs1",240.143006331438
"6868","1","coxboost","bs1",278.04954061938
"6869","1","coxboost","bs1",261.977758313848
"6870","1","coxboost","bs1",287.987332959257
"7071","1","gacoxboost","bs1",220.623787193666
"7072","1","gacoxboost","bs1",248.4269977803
"7073","1","gacoxboost","bs1",270.692192894609
"7074","1","gacoxboost","bs1",265.558158680719
"7075","1","gacoxboost","bs1",325.535784286486
"7076","1","gacoxboost","bs1",301.099767767532
"7077","1","gacoxboost","bs1",236.11812456817
"7078","1","gacoxboost","bs1",258.370732091001
"7079","1","gacoxboost","bs1",323.480589744384
"7080","1","gacoxboost","bs1",207.346336876716
"7081","1","gacoxboost","bs1",244.346860854394
"7082","1","gacoxboost","bs1",239.896334375252
"7083","1","gacoxboost","bs1",310.64867885112
"7084","1","gacoxboost","bs1",229.461011029014
"7085","1","gacoxboost","bs1",310.276834101426
"7086","1","gacoxboost","bs1",257.818809866302
"7087","1","gacoxboost","bs1",211.386142477635
"7088","1","gacoxboost","bs1",253.197632248308
"7089","1","gacoxboost","bs1",280.130579478376
"7090","1","gacoxboost","bs1",341.40052754085
"7091","1","gacoxboost","bs1",307.358571594435
"7092","1","gacoxboost","bs1",240.297129309782
"7093","1","gacoxboost","bs1",279.234970337574
"7094","1","gacoxboost","bs1",218.578769893477
"7095","1","gacoxboost","bs1",246.791983843388
"7096","1","gacoxboost","bs1",213.77677151074
"7097","1","gacoxboost","bs1",303.013078450564
"7098","1","gacoxboost","bs1",381.78639080472
"7099","1","gacoxboost","bs1",240.395091914235
"7100","1","gacoxboost","bs1",212.450011037567
"7101","1","gacoxboost","bs1",187.702207758382
"7102","1","gacoxboost","bs1",248.98506591091
"7103","1","gacoxboost","bs1",275.207685717487
"7104","1","gacoxboost","bs1",371.327915127461
"7105","1","gacoxboost","bs1",275.935122328045
"7106","1","gacoxboost","bs1",253.126438031712
"7107","1","gacoxboost","bs1",330.808833087848
"7108","1","gacoxboost","bs1",240.256161071251
"7109","1","gacoxboost","bs1",254.935872019466
"7110","1","gacoxboost","bs1",232.160425152349
"7111","1","gacoxboost","bs1",236.399256363101
"7112","1","gacoxboost","bs1",279.942184370663
"7113","1","gacoxboost","bs1",272.847514716598
"7114","1","gacoxboost","bs1",339.581264165724
"7115","1","gacoxboost","bs1",201.272785295317
"7116","1","gacoxboost","bs1",209.121719718519
"7117","1","gacoxboost","bs1",284.362621598845
"7118","1","gacoxboost","bs1",224.335865817578
"7119","1","gacoxboost","bs1",332.901216582842
"7120","1","gacoxboost","bs1",326.058239179747
"7121","1","gacoxboost","bs1",274.641735584169
"7122","1","gacoxboost","bs1",253.837509896485
"7123","1","gacoxboost","bs1",283.746076756955
"7124","1","gacoxboost","bs1",276.941815464233
"7125","1","gacoxboost","bs1",214.561799573391
"7126","1","gacoxboost","bs1",321.731541087696
"7127","1","gacoxboost","bs1",238.316502947531
"7128","1","gacoxboost","bs1",237.783912685543
"7129","1","gacoxboost","bs1",333.043275792039
"7130","1","gacoxboost","bs1",223.103510559746
