"","datasets","model","variable","value"
"439090","15","coxboost","bs1",3.80434907394092
"439091","15","coxboost","bs1",3.36841903649573
"439092","15","coxboost","bs1",3.74531081878602
"439093","15","coxboost","bs1",3.71594076773054
"439094","15","coxboost","bs1",11.9705875694146
"439095","15","coxboost","bs1",2.79309716302531
"439096","15","coxboost","bs1",5.56712292356746
"439097","15","coxboost","bs1",3.27068017532292
"439098","15","coxboost","bs1",3.82402717186067
"439099","15","coxboost","bs1",2.73744647131981
"439100","15","coxboost","bs1",3.29341818721006
"439101","15","coxboost","bs1",3.43251577386324
"439102","15","coxboost","bs1",3.63086434151156
"439103","15","coxboost","bs1",3.72785161931351
"439104","15","coxboost","bs1",4.73208589395782
"439105","15","coxboost","bs1",3.00086454912474
"439106","15","coxboost","bs1",3.20738145173693
"439107","15","coxboost","bs1",5.88490028575376
"439108","15","coxboost","bs1",3.35144073098575
"439109","15","coxboost","bs1",3.31932011198613
"439110","15","coxboost","bs1",3.56956056956205
"439111","15","coxboost","bs1",4.01840207354504
"439112","15","coxboost","bs1",2.97173326957708
"439113","15","coxboost","bs1",3.94184572927007
"439114","15","coxboost","bs1",3.06500177604331
"439115","15","coxboost","bs1",3.61999358696068
"439116","15","coxboost","bs1",4.20789711733436
"439117","15","coxboost","bs1",2.83302265826252
"439118","15","coxboost","bs1",5.32424496229062
"439119","15","coxboost","bs1",3.15128391635118
"439120","15","coxboost","bs1",3.0554889926208
"439121","15","coxboost","bs1",3.36531106427985
"439122","15","coxboost","bs1",4.16165663218075
"439123","15","coxboost","bs1",3.307637609315
"439124","15","coxboost","bs1",2.53682388238269
"439125","15","coxboost","bs1",3.78486779468051
"439126","15","coxboost","bs1",4.14479972835162
"439127","15","coxboost","bs1",3.51487022080898
"439128","15","coxboost","bs1",4.27020384820547
"439129","15","coxboost","bs1",3.45599997730928
"439130","15","coxboost","bs1",3.0534161348719
"439131","15","coxboost","bs1",5.28646164649856
"439132","15","coxboost","bs1",3.1688954285705
"439133","15","coxboost","bs1",4.13500365415412
"439134","15","coxboost","bs1",2.78494731767853
"439135","15","coxboost","bs1",3.05839601458651
"439136","15","coxboost","bs1",3.93552735285004
"439137","15","coxboost","bs1",3.60394768595803
"439138","15","coxboost","bs1",3.71809969851797
"439139","15","coxboost","bs1",4.22089764195756
"439140","15","coxboost","bs1",3.11551417098364
"439141","15","coxboost","bs1",3.75104586401401
"439142","15","coxboost","bs1",4.51706747679917
"439143","15","coxboost","bs1",3.51569435782753
"439144","15","coxboost","bs1",3.18602204766009
"439145","15","coxboost","bs1",2.81566718695042
"439146","15","coxboost","bs1",3.6020664274996
"439147","15","coxboost","bs1",5.68004104585527
"439148","15","coxboost","bs1",2.92547650902439
"439149","15","coxboost","bs1",3.74749304404757
"439150","15","coxboost","bs1",2.64046008515449
"439151","15","coxboost","bs1",3.87927627303447
"439152","15","coxboost","bs1",3.47720174059296
"439153","15","coxboost","bs1",7.41840139751721
"439154","15","coxboost","bs1",2.69240808706412
"439155","15","coxboost","bs1",2.89341142168561
"439156","15","coxboost","bs1",3.2265702298389
"439157","15","coxboost","bs1",3.88662609728852
"439158","15","coxboost","bs1",3.49599729237814
"439159","15","coxboost","bs1",2.91298110312413
"439160","15","coxboost","bs1",4.28577267351761
"439161","15","coxboost","bs1",3.67506475567908
"439162","15","coxboost","bs1",3.49946775455282
"439163","15","coxboost","bs1",3.57682270462573
"439164","15","coxboost","bs1",3.49261132042339
"439165","15","coxboost","bs1",3.54838002014467
"439166","15","coxboost","bs1",2.87010542983737
"439167","15","coxboost","bs1",6.31084735321648
"439168","15","coxboost","bs1",3.56556768037897
"439169","15","coxboost","bs1",3.25799365169687
